result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,81900000,,,
1,bing,Donald Trump,Donald Trump - Wikipedia,https://en.wikipedia.org/wiki/Donald_Trump,Donald John Trump (born June 14,,,,
2,bing,Donald Trump,Donald J. Trump | The White House,https://www.whitehouse.gov/people/donald-j-trump/,Donald J. Trump is the 45th President of the United States. He believes the United States has incredible potential and will go on to exceed even its remarkable achievements of the past. His...,81900000,,,
3,bing,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,"Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the nation""s history.",81900000,,,
4,bing,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump,Donald J. Trump,,,,
5,bing,Donald Trump,Donald Trump | US news | The Guardian,https://www.theguardian.com/us-news/donaldtrump,The latest news,,,,
6,bing,Donald Trump,Donald Trump - The New York Times,https://www.nytimes.com/topic/person/donald-trump,Oct-06,,,,
7,bing,Donald Trump,Donald Trump - HISTORY,https://www.history.com/topics/us-presidents/donald-trump,,81900000,,,
8,bing,Donald Trump,Donald Trump News – the latest from Al Jazeera,https://www.aljazeera.com/topics/people/donald-trump.html,Oct-05,,,,
9,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,81900000,,,
10,bing,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,"Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the nation""s history.",81900000,,,
11,bing,Donald Trump,Donald Trump news,,,,,,
12,bing,Donald Trump,Donald Trump | US news | The Guardian,https://www.theguardian.com/us-news/donaldtrump,The latest news,,,,
13,bing,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump,Donald J. Trump,,,,
14,bing,Donald Trump,Donald Trump - Latest News and Top Stories - NBC News,https://www.nbcnews.com/politics/donald-trump,Democrats talk op-ed asking for Trump’s Ukraine conversation to be investigated: ‘This is a game changer’,81900000,,,
15,bing,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,President of the United States,,,,
16,bing,Donald Trump,Donald Trump - latest news,,,,,,
17,bing,Donald Trump,Donald Trump - HISTORY,https://www.history.com/topics/us-presidents/donald-trump,Mar-07,,,,
18,bing,Donald Trump,Donald J. Trump (@realDonaldTrump) on Twitter,https://mobile.twitter.com/realDonaldTrump/tweets,As I have stated strongly before,,,,
19,bing,Donald Trump,Rallies | Donald J. Trump for President,https://www.donaldjtrump.com/rallies/,Help continue our promise to Make America Great Again!,81900000,,,
20,bing,Donald Trump,Donald Trump Jr. (@DonaldJTrumpJr) | Twitter,https://twitter.com/donaldjtrumpjr,Mar-08,,,,
21,bing,Donald Trump,Official Trump Store | Brand New Merchandise – Trump Make ...,https://shop.donaldjtrump.com/,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,81900000,,,
22,bing,Donald Trump,Donald Trump - U.S. Presidency,,,,,,
23,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,81900000,,,
24,bing,Donald Trump,"President Donald J. Trump""s Accomplishments List | MAGA PILL",http://www.magapill.com/,"President Donald J. Trump""s accomplishments list. Importance of Archiving President Trump""s accomplishments: The mainstream media has completely ignored President Trump""s accomplishments and all of the positive things he has achieved while in office.",81900000,,,
25,bing,Donald Trump,Hats – Trump Make America Great Again Committee,https://shop.donaldjtrump.com/collections/headwear,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,81900000,,,
26,bing,Donald Trump,Donald Trump | US News,https://www.usnews.com/topics/people/donald_trump,Oct-04,,,,
27,bing,Donald Trump,Donald Trump - Vox,https://www.vox.com/donald-trump,Donald Trump. Coverage of the 45th president of the United States,,,,
28,bing,Donald Trump,President Donald Trump - Public Schedule Calendar | Factbase,https://factba.se/topic/calendar,"Donald Trump - President""s Public Schedule. Available as a Google Calendar Schedule updates at midnight Eastern Time",,,,
