result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition. Thunberg first became known for her activism in August 2018 when,,,,
1,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,,7800000,,,
2,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg. 2,,,,
3,bing,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,Mar-11,,,,
4,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,
5,bing,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,,,
6,bing,Greta Thunberg,Greta Thunberg,,,,,,
7,bing,Greta Thunberg,This Greta Thunberg thing is child abuse,https://www.washingtonexaminer.com/opinion/this-greta-thunberg-thing-is-child-abuse,Aug-29,,,,
8,bing,Greta Thunberg,Greta Thunberg,,,,,,
9,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,Dec-15,,,,
10,bing,Greta Thunberg,"""You did not act in time"": Greta Thunberg""s full speech to ...",https://www.theguardian.com/environment/2019/apr/23/greta-thunberg-full-speech-to-mps-you-did-not-act-in-time,Apr-23,,,,
11,bing,Greta Thunberg,Greta Thunberg Age,,,,,,
12,bing,Greta Thunberg,Greta Thunberg arrives in New York after 15-day yacht ...,https://www.cnn.com/2019/08/28/us/greta-thunberg-new-york-landfall-scli-intl/index.html,Aug-28,,,,
13,bing,Greta Thunberg,Greta Thunberg: 6 things to know about the climate change ...,https://www.usatoday.com/story/news/politics/2019/09/18/greta-thunberg-6-things-know-climate-change-activist/2358463001/,Aug-29,,,,
14,bing,Greta Thunberg,This Greta Thunberg thing is child abuse,https://www.washingtonexaminer.com/opinion/this-greta-thunberg-thing-is-child-abuse,Aug-29,,,,
15,bing,Greta Thunberg,Greta Thunberg faces a storm of criticism in her sailing ...,https://www.washingtonpost.com/world/2019/08/15/swedish-climate-activist-greta-thunberg-is-sailing-america-amid-storm-criticism/,— Greta Thunberg (@GretaThunberg) August 14,,,,
16,bing,Greta Thunberg,Greta Thunberg to lead youth climate strike in 150 ...,https://www.vox.com/2019/9/17/20864740/greta-thunberg-youth-climate-strike-fridays-future,Sep-20,,,,
17,bing,Greta Thunberg,Teen Activist Greta Thunberg on the Climate Change Fight,https://time.com/collection-post/5584902/greta-thunberg-next-generation-leaders/,May-16,,,,
18,bing,Greta Thunberg,Why is Greta Thunberg so triggering for certain men?,https://www.irishtimes.com/life-and-style/people/why-is-greta-thunberg-so-triggering-for-certain-men-1.4002264,Why is Greta Thunberg so triggering? Because of what she represents. In an age when democracy is under assault,,,,
