result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
0,google,Donald Trump,Home | Donald J. Trump for President,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,1040000000,n/a,n/a
1,google,Donald Trump,Donald Trump - Wikipedia,https://en.wikipedia.org/wiki/Donald_Trump,Donald John Trump (born June 14,,,
2,google,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,Candidate for President of the United States,,,
3,google,Donald Trump,Donald Trump - CNBC - CNBC.com,https://www.cnbc.com/donald-trump/,*Riot police on streets of Kowloon. HONG KONG,,,
4,google,Donald Trump,Donald Trump - HuffPost,https://www.huffpost.com/news/topic/donald-trump,Catch up on the latest news on Donald Trump. Including photos,,,
5,google,Donald Trump,Live updates: The latest on the Trump impeachment inquiry ...,https://www.cnn.com/politics/live-news/impeachment-inquiry-10-12-2019/index.html,The House is moving forward with its impeachment inquiry into President Donald Trump. Follow here for the latest.,1040000000,1 hour ago ,1570910486
6,google,Donald Trump,Donald Trump news,,,,,
7,google,Donald Trump,Donald Trump - U.S. Presidency,,,,,
8,google,Donald Trump,Donald Trump: The Latest News,,,,,
9,google,Donald Trump,Donald Trump News – the latest from Al Jazeera,https://www.aljazeera.com/topics/people/donald-trump.html,Get Donald Trump's latest news from Al Jazeera. ... All the latest updates as US House launches official impeachment inquiry into President Donald Trump.,1040000000,n/a,n/a
10,google,Donald Trump,Donald Trump Fast Facts - CNN,https://www.cnn.com/2013/07/04/us/donald-trump-fast-facts/index.html,Read CNN's Donald Trump Fast Facts to learn more about the 45th president of the United States.,1040000000,Oct-05,
11,google,Donald Trump,Donald Trump News & Videos - ABC News - ABC News,https://abcnews.go.com/alerts/donald-trump,Follow the latest Donald Trump news stories and headlines. Get breaking news alerts when you download the ABC News App and subscribe to Donald Trump ...,1040000000,n/a,n/a
12,google,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump/,Donald J. Trump,,,
13,google,Donald Trump,Donald Trump: Latest News,,,,,
14,google,Donald Trump,Trump,,,,,
15,google,Donald Trump,Donald Trump - Newsweek,https://www.newsweek.com/topic/donald-trump,Donald John Trump is the 45th President of the United States.,1040000000,n/a,n/a
16,google,Donald Trump,Donald Trump - AP News,https://apnews.com/DonaldTrump,WASHINGTON (AP) — The White House and the Justice Department learned about a CIA officer's concerns about President Donald Trump around the same ...,1040000000,n/a,n/a
17,google,Donald Trump,Donald Trump | PEOPLE.com,https://people.com/tag/donald-trump/,Meghan McCain Goes 'a Bit Rogue' in Impassioned Criticism of Trump's Latest Military Move: 'Unpatriotic Cowards!' Read More. Advertisement ...,1040000000,n/a,n/a
18,google,Donald Trump,Donald Trump - Forbes,https://www.forbes.com/profile/donald-trump/,Donald Trump became the first billionaire president of the United States in January 2017. The core of his fortune is tied up in a half-dozen buildings in and ...,1040000000,n/a,n/a
19,google,Donald Trump,Donald Trump - Associated Press,https://www.apnews.com/DonaldTrump,LAKE BUENA VISTA,,,
20,google,Donald Trump,President Donald Trump Tweetstorm – The Saturday Edition ...,https://deadline.com/2019/10/president-donald-trump-tweetstorm-the-saturday-edition-43-1202758659/,President Donald Trump has a busy Saturday planned. He'll be speaking later at the Values Voter Summit in Washington,,,
21,google,Donald Trump,Trump Minnesota rally: Trump targets Somali refugees ...,https://www.cnn.com/2019/10/10/politics/donald-trump-campaign-rally-minnesota/index.html,Washington (CNN) President Donald Trump used his rally in Minneapolis Thursday night to hit on several of his key issues through a ...,1040000000,1 day ago ,1570827688
22,google,Donald Trump,What Shepard Smith's departure means for Trump's support ...,https://www.cnn.com/2019/10/12/opinions/shepard-smith-trump-pillars-of-support-zelizer/index.html,When Shep Smith announced he was leaving Fox News,,,
