result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,bing,Boris Johnson,Boris Johnson - Wikipedia,https://en.wikipedia.org/wiki/Boris_Johnson,,21800000,,,
1,bing,Boris Johnson,Boris Johnson | Biography,,,, New York, U.S.)," American-born British journalist and Conservative Party politician who became prime minister of the United Kingdom in July 2019.""	21800000"
2,bing,Boris Johnson,Boris Johnson | Fox News,https://www.foxnews.com/category/person/boris-johnson,Boris Johnson is a British politician and journalist who has been a Member of Parliament on two occasions,,,,
3,bing,Boris Johnson,Boris Johnson (@BorisJohnson) | Twitter,https://twitter.com/borisjohnson,,21800000,,,
4,bing,Boris Johnson,Boris Johnson - latest news,,,,,,
5,bing,Boris Johnson,Boris Johnson Biography - Facts,,,,,,
6,bing,Boris Johnson,Boris Johnson’s ultimatum: back me or face 14 October ...,https://www.theguardian.com/politics/2019/sep/02/boris-johnson-threatens-to-ignore-mps-on-no-deal-brexit,Sep-02,,,,
7,bing,Boris Johnson,"Boris Johnson""s children - how many kids does the PM have ...",https://www.thesun.co.uk/news/9322111/boris-johnson-children-love-child/,Oct-01,,,,
8,bing,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.com/news/topics/c8nq32jw8r1t/boris-johnson,UK Prime Minister Boris Johnson (R) is meeting with Irish Taoiseach Leo Varadkar (L) on Thursday Commenting on the latest GDP figures,,,,
9,bing,Boris Johnson,I Fought the Law - Boris Johnson x The Clash - YouTube,https://www.youtube.com/watch?v=W0pTpwqkB48,Sep-16,,,,
10,bing,Boris Johnson,Boris Johnson second wife: Why is Boris divorcing Marina ...,https://www.thesun.co.uk/news/3760688/marina-wheeler-boris-johnson-wife-lawyer-children/,Oct-01,,,,
11,bing,Boris Johnson,Boris Johnson: Last Week Tonight with John Oliver (HBO ...,https://www.youtube.com/watch?v=dXyO_MC9g3k,Jul-28,,,,
12,bing,Boris Johnson,Boris Johnson - famechain.com,https://www.famechain.com/family-tree/11347/boris-johnson,"Boris Johnson""s former partners: Boris Johnson""s former wife is Marina Johnson QC Boris Johnson had an affair with Helen MacIntyre Boris Johnson allegedly had a romance with Petsy Wyatt Boris Johnson""s former wife is Allegra Mostyn-Owen",21800000,,,
13,bing,Boris Johnson,Parody Boris Johnson (@BorisJohnson_MP) | Twitter,https://twitter.com/BorisJohnson_MP,The latest Tweets from Parody Boris Johnson (@BorisJohnson_MP). Overcoming facts and reality through the power of optimism and blind belief. Hobbies include trashing the economy and making the UK a laughing stock. Parody. Blighty,21800000,,,
14,bing,Boris Johnson,Boris Johnson - Simple English Wikipedia,,,,,,
15,bing,Boris Johnson,Boris Johnson (@borisjohnsonmp) • Instagram photos and videos,https://www.instagram.com/borisjohnsonmp/,222.6k Followers,,,,
16,bing,Boris Johnson,Boris Johnson Faces a New Scandal,,,,,,
17,bing,Boris Johnson,Boris Johnson latest news,,,,,,
18,bing,Boris Johnson,Boris Johnson has four options to escape his Brexit mess ...,https://www.washingtonpost.com/world/europe/boris-johnson-has-four-options-to-escape-his-brexit-mess-one-of-them-is-to-go-to-jail/2019/09/08/1b56d7bc-d1ba-11e9-a620-0a91656d7db6_story.html,Sep-09,,,,
19,bing,Boris Johnson,Boris Johnson - famechain.com,https://www.famechain.com/family-tree/11347/boris-johnson,"Boris Johnson""s former partners: Boris Johnson""s former wife is Marina Johnson QC Boris Johnson had an affair with Helen MacIntyre Boris Johnson allegedly had a romance with Petsy Wyatt Boris Johnson""s former wife is Allegra Mostyn-Owen",21800000,,,
20,bing,Boris Johnson,"Meet Boris Johnson""s 31-year-old girlfriend Carrie Symonds",https://nypost.com/2019/07/26/meet-boris-johnsons-31-year-old-girlfriend-carrie-symonds/,Jul-26,,,,
21,bing,Boris Johnson,I Fought the Law - Boris Johnson x The Clash - YouTube,https://www.youtube.com/watch?v=W0pTpwqkB48,Sep-16,,,,
22,bing,Boris Johnson,Boris Johnson second wife: Why is Boris divorcing Marina ...,https://www.thesun.co.uk/news/3760688/marina-wheeler-boris-johnson-wife-lawyer-children/,Oct-01,,,,
23,bing,Boris Johnson,Stanley Johnson (writer) - Wikipedia,https://en.wikipedia.org/wiki/Stanley_Johnson_(writer),Stanley Patrick Johnson (born 18 August 1940 in Penzance) is a British author and former politician. He has written books on environmental and population issues. He was a Conservative MEP for Wight and Hampshire East from 1979 to 1984 and is a former employee of the World Bank and the European Commission.. His six children include Boris Johnson…,21800000,,,
24,bing,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.co.uk/news/topics/c8nq32jw8r1t/boris-johnson,"Jeremy Corbyn tells Boris Johnson ""we can""t trust you"" The Labour leader has accused the prime minister of using the Queen for a party political broadcast by holding a state opening of Parliament ...",21800000,,,
25,bing,Boris Johnson,Boris Johnson dealt blow as Brexit rebels vote to seize ...,https://edition.cnn.com/uk/live-news/boris-johnson-brexit-parliament-tuesday-dle-gbr-intl/index.html,Sep-04,,,,
26,bing,Boris Johnson,"Boris Johnson: ""Don""t expect a New York breakthrough on ...",https://news.sky.com/story/boris-johnson-dont-expect-a-new-york-breakthrough-on-brexit-11817530,Sep-23,,,,
27,bing,Boris Johnson,"Brexit latest news: Boris Johnson says Parliament ""must ...",https://www.telegraph.co.uk/politics/2019/09/25/brexit-latest-news-boris-johnson-parliament-bercow-no-deal-election/,Sep-26,,,,
28,bing,Boris Johnson,Boris Johnson - Wikimedia Commons,https://commons.wikimedia.org/wiki/Boris_Johnson,English: Alexander Boris de Pfeffel Johnson,,,,
29,bing,Boris Johnson,Boris Johnson | Financial Times,https://www.ft.com/topics/people/Boris_Johnson,Oct-10,,,,
30,bing,Boris Johnson,Boris Johnson - Arsehole Premier League,http://arseholepremierleague.com/player/boris-johnson/,May-13,,,,
31,bing,Boris Johnson,Boris Johnson,,,,,,
32,bing,Boris Johnson,Boris Johnson Doesn’t Want a No-Deal Brexit. He Wants to ...,https://foreignpolicy.com/2019/08/12/boris-johnson-doesnt-want-no-deal-brexit-he-wants-to-win-an-election-jeremy-corbyn-brexit-election-cummings/,Aug-12,,,,
33,bing,Boris Johnson,Is it true that Boris Johnson is Turkish? - Quora,https://www.quora.com/Is-it-true-that-Boris-Johnson-is-Turkish,Jun-14,,,,
34,bing,Boris Johnson,Why Boris Johnson Is Renouncing His American Citizenship,https://www.theatlantic.com/international/archive/2015/02/boris-Johnson-renounces-us-citizenship-tax-bill-mayor-london/385554/,Feb-17,,,,
35,bing,Boris Johnson,Boris Johnson – Wikipedia,https://fi.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (s.19. kesäkuuta 1964 New York City,,,,
36,bing,Boris Johnson,Boris Johnson Lied to the Queen to Get Parliament ...,https://www.vice.com/en_us/article/d3a3jv/boris-johnson-lied-to-the-queen-to-get-parliament-suspended-court-rules,Sep-11,,,,
37,bing,Boris Johnson,Boris Johnson challenges political foes at raucous ...,https://www.cbsnews.com/news/boris-johnson-challenges-political-foes-at-raucous-parliament-session-with-so-much-vitriol-2019-09-25/,Sep-25,,,,
38,bing,Boris Johnson,"What""s Boris Johnson""s stance on the environment? | Eco-Age",https://eco-age.com/news/what-boris-johnsons-stance-environment,As Boris Johnson settles in at Number 10 and an opinion poll shows that 71% of Britons consider the climate emergency a more pressing issue than Brexit,,,,
39,bing,Boris Johnson,Boris Johnson forced to cut short US trip and fly back to ...,https://www.independent.co.uk/news/uk/politics/boris-johnson-news-latest-un-speech-parliament-return-brexit-supreme-court-ruling-a9118271.html,Sep-24,,,,
40,bing,Boris Johnson,All the times Boris Johnson flat-out lied | inews,https://inews.co.uk/news/uk/times-boris-johnson-flat-lied,Boris Johnson has written to Theresa May saying it should not be the UK’s priority to ensure there is “no border” between Northern Ireland and the Republic of Ireland,,,,
41,bing,Boris Johnson,Brexit news: Boris Johnson had a really bad day in ...,https://www.vox.com/2019/9/16/20869187/brexit-news-boris-johnson-luxembourg-bettel-hulk,Sep-16,,,,
42,bing,Boris Johnson,Boris Johnson - inews.co.uk,https://inews.co.uk/tag/boris-johnson,Thanks,,,,
43,bing,Boris Johnson,The Empty Promise of Boris Johnson | The New Yorker,https://www.newyorker.com/magazine/2019/06/24/the-empty-promise-of-boris-johnson,The Empty Promise of Boris Johnson The man expected to be Britain’s next Prime Minister makes people in power,,,,
44,bing,Boris Johnson,British politics Boris Johnson’s Unconservative Party,https://www.economist.com/leaders/2019/09/07/boris-johnsons-unconservative-party,BORIS JOHNSON has been Conservative leader for little more than a month,,,,
45,bing,Boris Johnson,"Nigel Farage and Boris Johnson: Donald Trump""s friends are ...",https://www.newsweek.com/trump-boris-johnson-farage-theresa-may-resigsn-1435043,Two friends of President Donald Trump,,,,
46,bing,Boris Johnson,Boris Johnson – Wikipédia,https://hu.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (New York,,,,
47,bing,Boris Johnson,Boris Johnson Quotes - BrainyQuote,https://www.brainyquote.com/authors/boris-johnson-quotes,Enjoy the best Boris Johnson Quotes at BrainyQuote. Quotations by Boris Johnson,,,,
48,bing,Boris Johnson,Boris Johnson makes Brexit statement: Live updates - CNN,https://www.cnn.com/europe/live-news/boris-johnson-monday-announcement-dle-gbr-intl/index.html,Sep-02,,,,
49,bing,Boris Johnson,"Is Boris Johnson Ready to be Britain""s Prime Minister ...",https://www.theatlantic.com/international/archive/2019/07/boris-johnson-profile/594379/,Boris Johnson Meets His Destiny. Hailed as a savant,,,,
50,bing,Boris Johnson,Boris Johnson compares Britain to the Incredible Hulk ...,https://www.foxnews.com/world/boris-johnson-compares-britain-incredible-hulk,Using a comic book analogy,,,,
51,bing,Boris Johnson,Who is Boris Johnson dating? Boris Johnson girlfriend,,,,,,
52,bing,Boris Johnson,5 Facts about Boris Johnson | ERLC,https://erlc.com/resource-library/articles/5-facts-about-boris-johnson,Jul-26,,,,
53,bing,Boris Johnson,11 Boris Johnson diplomatic gaffes – POLITICO,https://www.politico.eu/article/11-boris-johnson-diplomatic-gaffes/,Cannibalism and chief-killing. Johnson was forced to apologize to the people of Papua New Guinea after writing in 2006 in the Telegraph: “For 10 years we in the Tory party have become used to Papua New Guinea-style orgies of cannibalism and chief-killing and so it is with a happy amazement that we watch as the madness engulfs the Labour party.”,21800000,,,
54,bing,Boris Johnson,Boris Johnson : NPR,https://www.npr.org/tags/365690980/boris-johnson,Boris Johnson Trades Challenges With Lawmakers In Raucous Return To Parliament. September 25,,,,
55,bing,Boris Johnson,Boris Johnson: what you need to know about the new Tory PM,https://www.snp.org/boris-johnson-what-you-need-to-know-about-the-new-tory-pm/,Jul-24,,,,
56,bing,Boris Johnson,Boris Johnson Net Worth 2018: Wiki,,,,,,
57,bing,Boris Johnson,Boris Johnson MP - Latest news & opinion on the Prime ...,https://www.mirror.co.uk/all-about/boris-johnson,Boris Johnson became Prime Minister of the United Kingdom in July 2019 ...,21800000,,,
58,bing,Boris Johnson,"Boris Johnson""s Prime Minister Campaign: Brexit ...",https://www.nationalreview.com/2019/06/boris-johnson-the-brexit-illusionist/,Boris Johnson talks with reporters at the European Council in Belgium in May. (Yves Herman/Reuters) Does he know what he’s doing? The single biggest issue facing the final two Tory prime ...,21800000,,,
59,bing,Boris Johnson,Amazon.com: The Churchill Factor: How One Man Made History ...,https://www.amazon.com/Churchill-Factor-How-Made-History/dp/1594633983,From London’s inimitable mayor,,,,
60,bing,Boris Johnson,Boris Johnson: The British Donald Trump? | National Review,https://www.nationalreview.com/2019/05/boris-johnson-political-career-donald-trump-brexit/,Then-British foreign secretary Boris Johnson at the European Council headquarters in Brussels,,,,
61,bing,Boris Johnson,"Boris Johnson""s hair history - marieclaire.co.uk",https://www.marieclaire.co.uk/news/celebrity-news/boris-johnson-s-hair-history-3131,Aug-01,,,,
62,bing,Boris Johnson,Boris Johnson | The Times & The Sunday Times,https://www.thetimes.co.uk/topic/boris-johnson,Boris Johnson can secure a Brexit deal as early as next week,,,,
63,bing,Boris Johnson,Boris Johnson’s racist insults,,,,,,
64,bing,Boris Johnson,Boris Johnson Bio,,,,1964, Boris Johnson (Alexander Boris de Pfeffel Johnson) is a British politician," historian and journalist who has served as Secretary of State for Foreign and Commonwealth Affairs since 2016 and as Member of Parliament …""	21800000"
