result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,,
0,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition. Thunberg first became known for her activism in August 2018 when,,,,,
1,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,,,,
2,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg 23 hrs · ‪The last two days Tokata Iron Eyes and I visited Takini School,,,,,
3,bing,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,Sep-16,,,,,
4,bing,Greta Thunberg,Greta Thunberg Age,,,, is the descendant of Svante Arrhenius, the Nobel Prize-winning scientist, who first calculated the greenhouse effect caused by carbon dioxide emissions in 1896," known to some as the “father of …""	7790000"
5,bing,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,Greta Thunberg is a Swedish climate activist. Why you should listen In August 2018,,,,,
6,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,,
7,bing,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,,,,
8,bing,Greta Thunberg,Greta Thunberg,,,,,,,
9,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,Dec-15,,,,,
10,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition. Thunberg first became known for her activism in August 2018 when,,,,,
11,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,,,,
