result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
1,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://en.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (/ ˈ f ɛ f ə l /; born 19 June 1964) is a British politician,,,,
2,duckduckgo,Boris Johnson,Boris Johnson (@BorisJohnson) | Twitter,https://twitter.com/borisjohnson,The latest Tweets from Boris Johnson (@BorisJohnson). MP for Uxbridge and South Ruislip #BackBoris. United Kingdom,150,,,
3,duckduckgo,Boris Johnson,Boris Johnson - Home | Facebook,https://www.facebook.com/borisjohnson,Boris Johnson. 729K likes. Member of Parliament for Uxbridge and South Ruislip,150,,,
5,duckduckgo,Boris Johnson,Parody Boris Johnson (@BorisJohnson_MP) | Twitter,https://twitter.com/BorisJohnson_MP,The latest Tweets from Parody Boris Johnson (@BorisJohnson_MP). Overcoming facts and reality through the power of optimism and blind belief. Hobbies include trashing ...,150,,,
6,duckduckgo,Boris Johnson,Boris Johnson: Last Week Tonight with John Oliver (HBO) - YouTube,https://www.youtube.com/watch?v=dXyO_MC9g3k,John Oliver explains how Britain&#x27;s new prime minister,,,,
7,duckduckgo,Boris Johnson,Boris Johnson - latest news,,,,,,
8,duckduckgo,Boris Johnson,Boris Johnson | Politics | The Guardian,https://www.theguardian.com/politics/boris-johnson,To get the better of Boris Johnson and Dominic Cummings,,,,
9,duckduckgo,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.com/news/topics/c8nq32jw8r1t/boris-johnson,UK Prime Minister Boris Johnson (R) is meeting with Irish Taoiseach Leo Varadkar (L) on Thursday Commenting on the latest GDP figures,,,,
10,duckduckgo,Boris Johnson,Boris Johnson News: Latest UK Prime Minister Updates | Daily Mail Online,https://www.dailymail.co.uk/news/boris_johnson/index.html,Boris Johnson&#x27;s plans appear to be falling apart after the EU said his offer does not provide a basis for a deal - a week before he tours European capitals in a last ditch bid to avoid crashing out of Europe.,150,,,
11,duckduckgo,Boris Johnson,Boris Johnson | Biography,,,, New York, U.S.)," American-born British journalist and Conservative Party politician who became prime minister of the United Kingdom in July 2019.""	150"
12,duckduckgo,Boris Johnson,Boris Johnson - Simple English Wikipedia,,,,,,
13,duckduckgo,Boris Johnson,Boris Johnson (@borisjohnsonmp) • Instagram photos and videos,https://www.instagram.com/borisjohnsonmp/,222.6k Followers,,,,
15,duckduckgo,Boris Johnson,Boris Johnson - De Standaard,https://www.standaard.be/tag/boris-johnson,Boris Johnson heeft donderdag zijn nieuwste voorstel om het Verenigd Koninkrijk met een akkoord uit de Europese Unie te halen,,,,
16,duckduckgo,Boris Johnson,Boris Johnson | HLN,https://www.hln.be/tag/boris-johnson,Boris Johnson ontkent Britse plannen voor controles in omgeving Ierse grens &quot;Er zijn heel goede redenen waarom dit geen goed idee zou zijn.&quot; In een interview met de BBC heeft de Britse premier Boris Johnson ontkend dat hij...,150,,,
17,duckduckgo,Boris Johnson,Boris Johnson - IMDb,https://www.imdb.com/name/nm1296124/,Boris Johnson,,,,
18,duckduckgo,Boris Johnson,Stanley Johnson (writer) - Wikipedia,https://en.wikipedia.org/wiki/Stanley_Johnson_(writer),Johnson said his son Boris Johnson&#x27;s comments that Muslim women who wear burkas look like &quot;letterboxes&quot; and &quot;bank robbers&quot; did not go far enough and that criticism of the comments had been &quot;synthetic indignation&quot; created by political opponents of Boris. In October 2018 Johnson said that,,,,
19,duckduckgo,Boris Johnson,Boris Johnson latest news,,,,,,
20,duckduckgo,Boris Johnson,Boris Johnson - Sky News,https://news.sky.com/topic/boris-johnson-5853,Sky News - First for Breaking News,,,,
22,duckduckgo,Boris Johnson,Boris Johnson MP - Latest news &amp; opinion on the Prime Minister - Mirror ...,https://www.mirror.co.uk/all-about/boris-johnson,Boris Johnson Boris Johnson&#x27;s toxic legacy means residents think they&#x27;re being gassed at front door Southall Gasworks and a chemical factory is being developed for housing after former mayor Johnson used special powers to push development through,150,,,
23,duckduckgo,Boris Johnson,Boris Johnson | Fox News,https://www.foxnews.com/category/person/boris-johnson,Boris Johnson is a British politician and journalist who has been a Member of Parliament on two occasions,,,,
24,duckduckgo,Boris Johnson,Boris Johnson - All the latest news and updates- The Sun,https://www.thesun.co.uk/who/boris-johnson/,Boris Johnson is the Prime Minister and has been the MP for Uxbridge and South Ruislip since 2015,,,,
25,duckduckgo,Boris Johnson,Boris Johnson Gets Grilled by Panelists (HIGNFY) - YouTube,https://www.youtube.com/watch?v=trE_bkWUFsE,A selection of funny scenes from a Have I Got News For You episode where the panelists grill Boris Johnson continuously. Have I Got News For You s32 e09,150,,,
31,duckduckgo,Boris Johnson,NewsNow: Boris Johnson news | Breaking News 24/7,https://www.newsnow.co.uk/h/UK/Government+&+Politics/Conservatives/Boris+Johnson,Breaking news headlines about Boris Johnson linking to 1,,,,
33,duckduckgo,Boris Johnson,boris johnson | Het Parool,https://www.parool.nl/tag/boris-johnson,Het laatste nieuws met duiding van redacteuren,,,,
34,duckduckgo,Boris Johnson,Boris Johnson Family Tree &amp; History,,,,,,
35,duckduckgo,Boris Johnson,Boris Johnson vs. parliament - POLITICO,https://www.politico.eu/article/boris-johnson-vs-parliament/,After a summer of shadow-boxing and speculation,,,,
36,duckduckgo,Boris Johnson,BBC - Who Do You Think You Are? - Boris Johnson - How we did it ...,https://www.bbc.co.uk/whodoyouthinkyouare/new-stories/boris-johnson/how-we-did-it_1.shtml,Boris&#x27;s grandfather,,,,
37,duckduckgo,Boris Johnson,Boris Johnson&#x27;s ultimatum: back me or face 14 October election ...,https://www.theguardian.com/politics/2019/sep/02/boris-johnson-threatens-to-ignore-mps-on-no-deal-brexit,Sep-02,,,,
38,duckduckgo,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.co.uk/news/topics/c8nq32jw8r1t/boris-johnson,Jeremy Corbyn tells Boris Johnson &#x27;we can&#x27;t trust you&#x27; The Labour leader has accused the prime minister of using the Queen for a party political broadcast by holding a state opening of Parliament just before an expected election.,150,,,
39,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://fi.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (s. 19. kesäkuuta 1964 New York City,,,,
40,duckduckgo,Boris Johnson,Boris Johnson could be the last prime minister of the United Kingdom - CNN,https://edition.cnn.com/2019/08/03/uk/boris-johnson-end-of-the-union-analysis-intl-gbr/index.html,Aug-03,,,,
41,duckduckgo,Boris Johnson,Boris Johnson - Wikiquote,https://en.wikiquote.org/wiki/Boris_Johnson,Boris Johnson says May&#x27;s Brexit plan &#x27;worse than status quo&#x27; BBC News (11 September 2018) [There has been a] collective failure of government,,,,
42,duckduckgo,Boris Johnson,Boris Johnson family photo: Boris with his 4 children ... - express.co.uk,https://www.express.co.uk/news/politics/1141496/boris-johnson-family-photo-children-wife-lara-lettice-cassia-milo-theodore-Stephanie,Boris Johnson family photo: Boris with his 4 children and who they are REVEALED BORIS JOHNSON has just been announced as the next Tory leader and the latest Prime Minister of the UK,,,,
43,duckduckgo,Boris Johnson,Boris Johnson Biography - Famous People,https://www.thefamouspeople.com/profiles/boris-johnson-4249.php,Boris Johnson is a British politician and Prime Minister of the United Kingdom. Check out this biography to know about his childhood,,,,
44,duckduckgo,Boris Johnson,The Rt Hon Boris Johnson MP - GOV.UK,https://www.gov.uk/government/people/boris-johnson,Boris Johnson became Prime Minister on 24 July 2019. He was previously Foreign Secretary from 13 July 2016 to 9 July 2018. He was elected Conservative MP for Uxbridge and South Ruislip in May 2015. Previously he was the MP for Henley from June 2001 to June 2008.,150,,,
45,duckduckgo,Boris Johnson,Boris Johnson - Wikiquote,https://nl.wikiquote.org/wiki/Boris_Johnson,Johnson probeerde de Britse pingpongers die het moesten opnemen tegen China een hart onder de riem steken,,,,
47,duckduckgo,Boris Johnson,Boris Johnson | The Times &amp; The Sunday Times,https://www.thetimes.co.uk/topic/boris-johnson,Boris Johnson can secure a Brexit deal as early as next week,,,,
